Numero;Nimi;Valmistaja;Pullokoko;Hinta;Litrahinta;Uutuus;Hinnastojärjestyskoodi;Tyyppi;Alatyyppi;Erityisryhmä;Oluttyyppi;Valmistusmaa;Alue;Vuosikerta;Etikettimerkintöjä;Huomautus;Rypäleet;Luonnehdinta;Pakkaustyyppi;Suljentatyyppi;Alkoholi-%;Hapot g/l;Sokeri g/l;Kantavierrep-%;Väri EBC;Katkerot EBU;Energia kcal/100 ml;Valikoima;EAN
915083;Ecologica Reserve Organic Shiraz Malbec 2019;La Riojana;0,75 l;Oct.48;13.84;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;La Rioja;2019;Famatina Valley;Reilu kauppa;Shiraz, Malbec, ;Täyteläinen, keskitanniininen, kirsikkainen, herukkainen, karhunvatukkahilloinen;pullo;metallinen kierrekapseli;13.0;5.Feb;4;;;;80.0;tilausvalikoima;7,79027E+12
906458;Fair & Square Red 2021 kartonkitölkki;La Riojana;1 l;Oct.89;Oct.89;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;La Rioja;2021;Famatina Valley;Reilu kauppa;Syrah, ;Keskitäyteläinen, keskitanniininen, karhunvatukkainen, mustaherukkainen, karpaloinen, kevyen yrttinen;kartonkitölkki;muovisuljin;13.0;5.Feb;3;;;;70.0;vakiovalikoima;7,35008E+12
951667;Raza Selection Malbec Shiraz Organic 2017;La Riojana;0,75 l;Dec.98;17.17;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;La Rioja;2017;Famatina Valley;Reilu kauppa;Malbec, Syrah, ;Täyteläinen, keskitanniininen, herukkainen, boysenmarjainen, taatelinen, neilikkainen;pullo;synteettinen korkki;13.0;4.Sep;7;;;;80.0;vakiovalikoima;7,79027E+12
489367;Achaval Ferrer Quimera 2010;Achaval Ferrer;0,75 l;49.94;66.59;;110;punaviinit;Vivahteikas & Kehittynyt;;;Argentiina;Mendoza;2010;IP Mendoza;;;Täyteläinen, keskitanniininen, tumman kirsikkainen, boysenmarjainen, kypsän karpaloinen, kevyen kaakaoinen, tamminen, lämmin;pullo;luonnonkorkki;14.0;6.May;1;;;;80.0;erikoiserä;7,79809E+12
440567;Alamos Malbec Organic 2021;Alamos;0,75 l;Nov.49;15.19;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2021;Mendoza;;Malbec, ;Täyteläinen, keskitanniininen, luumuinen, mustikkainen, karhunvatukkainen, kevyen kukkainen;pullo;metallinen kierrekapseli;13.May;5.Feb;2;;;;80.0;vakiovalikoima;7,79445E+12
939055;Altos Las Hormigas Clásico Malbec 2020;Altos Las Hormigas;0,75 l;17.98;23.97;;110;punaviinit;Mehevä & Hilloinen;ympäristövastuullinen pakkaus;;Argentiina;Mendoza;2020;Mendoza;Saattaa sisältää sakkaa;Malbec, ;Täyteläinen, keskitanniininen, luumuinen, karhunvatukkainen, aroniamarjainen;pullo;luonnonkorkki;13.May;5.May;2;;;;80.0;tilausvalikoima;7,79805E+12
936741;Altos Las Hormigas Terroir Luján de Cuyo 2017;Altos Las Hormigas;0,75 l;19.99;26.65;;110;punaviinit;Vivahteikas & Kehittynyt;;;Argentiina;Mendoza;2017;Mendoza;Saattaa sisältää sakkaa;Malbec, ;Täyteläinen, keskitanniininen, luumuinen, karhunvatukkainen, mausteinen;pullo;luonnonkorkki;13.May;4.Jul;2;;;;80.0;tilausvalikoima;7,79805E+12
945913;Altos Las Hormigas Terroir Malbec 2018;Altos Las Hormigas;0,75 l;21.99;29.32;;110;punaviinit;Vivahteikas & Kehittynyt;;;Argentiina;Mendoza;2018;Uco Valley, Mendoza;Saattaa sisältää sakkaa;Malbec, ;Täyteläinen, keskitanniininen, luumuinen, mausteinen, nahkainen;pullo;luonnonkorkki;13.May;5.May;2;;;;80.0;tilausvalikoima;7,79805E+12
921767;Argento Organic Malbec Reserva 2015;Bodega Argento;0,75 l;14.98;19.84;;110;punaviinit;Mehevä & Hilloinen;luomu;;Argentiina;Mendoza;2015;Uco Valley;;Malbec, ;Keskitäyteläinen, keskitanniininen, tumman kirsikkainen, mansikkahilloinen, karpaloinen, yrttinen, mausteinen;pullo;luonnonkorkki;14.0;4.Sep;;;;;80.0;vakiovalikoima;7,79813E+12
941387;Argento Reserva Cabernet Franc 2014;Bodega Argento;0,75 l;14.99;19.99;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2014;Mendoza;;Cabernet Franc, ;Täyteläinen, keskitanniininen, mustaherukkainen, vadelmainen, pippurinen;pullo;luonnonkorkki;14.0;5.Jan;4;;;;80.0;tilausvalikoima;7,79813E+12
